% For a more comprehensive dataset with many more features check out the "Yacht/Motorboat Pricing Data (10,000+ listings)" dataset.
% Link below:
% https://www.kaggle.com/artemkorottchenko/large-boatyacht-pricing-dataset
% Context
% What are the most important features in determining the price of a new or used aircraft? Is it the aircraft type? Year? Manufacturer? Other characteristics? 
% This is one of many questions regarding the used/new aircraft markets I hope to answer with this dataset. 
% The dataset contains over 2000 aircraft that are for sale around the world. The data was scraped during July of 2020.
% Content
% The data was scraped from various websites using the Scrapy framework for Python. 
% Scrapy script:
% https://github.com/akorott/Aircraft-Scrapy-Script.git
% Content scraped:
%
% New/Used
% Price  
% Currency (USD, EUR, GBP)
% Category
% Year
% Make
% Model
% Location
% Serial number
% Registration number
% Total hours
% Engine 1 hours 
% Engine 2 hours 
% Prop 1 hours
% Prop 2 hours
% Total Seats
% Flight Rules
% National Origin
%
% Keep in mind that the data was scraped from 2 different sources. Some of the data (New/Used, Engine 1 hours, Engine 2 hours, Prop 1 hours, Prop 2 hours, Total Seats, Flight Rules) was only easily accessible on one source, thus is missing for part of the dataset. 
% FAQ
% Flight Rules: Visual Flight Rules (VFR) VS Instrument Flight Rules (IFR). In a nutshell, an aircraft equipped with IFR is one where a pilot can fully navigate an aircraft using instruments in the cockpit. Any aircraft flying over 18,000 feet, by law, has to be equipped with IFR equipment.
% BTH - Beyond the Horizon - according to my research, BTH means that an aircraft is equipped with a radar, but doesn't fully meet IFR criteria.
% VFR - (https://en.wikipedia.org/wiki/Visual_flight_rules)
% IFR - (https://en.wikipedia.org/wiki/Instrument_flight_rules)
% Some of the acronyms used within total hours, engine 1, engine 2, prop 1, prop 2 columns:
% SMOH - Since major overhaul
% SNEW - Since new
% SPOH - Since prop overhaul
% SFOH - Since factory overhaul (more reliable)
% SOH - Since overhaul
% STOH - Since top overhaul
% SFRM - Since factory re-manufactured
% Thank you for checking out this dataset and happy kaggling!  
@RELATION Aircraft-Pricing-Dataset

@ATTRIBUTE Condition STRING
@ATTRIBUTE Price STRING
@ATTRIBUTE Currency STRING
@ATTRIBUTE Category STRING
@ATTRIBUTE Year STRING
@ATTRIBUTE Make STRING
@ATTRIBUTE Model STRING
@ATTRIBUTE Location STRING
@ATTRIBUTE S/N STRING
@ATTRIBUTE REG STRING
@ATTRIBUTE Total_Hours STRING
@ATTRIBUTE Engine_1_Hours STRING
@ATTRIBUTE Engine_2_Hours STRING
@ATTRIBUTE Prop_1_Hours STRING
@ATTRIBUTE Prop_2_Hours STRING
@ATTRIBUTE Total_Seats REAL
@ATTRIBUTE Flight_Rules STRING
@ATTRIBUTE National_Origin STRING

@DATA
Used,'85,000 ',USD,'Single Engine Piston',2013,'CZECH SPORT AIRCRAFT',MERMAID,'Milton,\n                           VT\n                           USA','Not Listed',N995MM,118,'118 SNEW',?,'118 SNEW',?,2.0,?,'Czech Republic'
Used,'575,000 ',USD,'Single Engine Piston',2013,'FOUND AIRCRAFT CO',E350,'Naples,\n                           FL\n                           USA',313,N454LW,193,'193 SNEW',?,'10 SOH',?,5.0,BTH,Canada
Used,'229,900 ',USD,'Single Engine Piston',2013,'GLASAIR AVIATION',SPORTSMAN,'Arlington,\n                           WA\n                           USA',7386,N6852K,290,290,?,290,?,2.0,IFR,'United States'
Used,'299,900 ',USD,'Single Engine Piston',2013,'PIPER AIRCRAFT','ARROW III','Lexington,\n                           KY\n                           USA',2844146,N751LU,2694,'6 SMOH',?,'6 SPOH',?,?,?,'United States'
Used,'600,000 ',USD,'Turbine Helicopters',2013,'ROBINSON HELICOPTER',R66,'St Augustine,\n                           FL\n                           USA',L163H,L163H,895,?,?,?,?,5.0,?,'United States'
Used,'759,000 ',USD,'Turbine Helicopters',2013,'ROBINSON HELICOPTER',R66,'St Augustine,\n                           FL\n                           USA',L165J,L165J,934,?,?,?,?,5.0,?,'United States'
Used,'150,000 ',USD,'Single Engine Piston',2013,'BACKCOUNTRY SUPER CUBS',SUPERCUB,'Jackson,\n                           MI\n                           USA',TC0611003,N419JC,200,'200 SMOH',?,'0 SNEW',?,2.0,VFR,'United States'
Used,'74,500 ',USD,'Single Engine Piston',2013,ZENAIR/ZENITH,'STOL CH750','Athens,\n                           TN\n                           USA',75-8874,N4744M,77,'77 SMOH',?,'77 SNEW',?,2.0,VFR,Canada
Used,'64,900 ',USD,'Single Engine Piston',2014,'AERO ADVENTURE','AVENTURA II','St Augustine,\n                           FL\n                           USA','Not Listed',N502NP,212,'35 SNEW',?,'35 SNEW',?,2.0,VFR,'United States'
Used,'85,000 ',USD,'Single Engine Piston',2014,'COMP AIR INC.','COMP AIR 6 PISTON','Sidney,\n                           BC\n                           CAN','Not Listed','Not Listed',74,'74 SNEW',?,'2 SNEW',?,4.0,?,'United States'
Used,'229,500 ',USD,'Single Engine Piston',2014,'AMERICAN CHAMPION','8-KCAB XTREME DECATHLON','Arlington,\n                           TX\n                           USA',1150-2014,N50XT,227,?,?,?,?,?,?,'United States'
Used,'135,000 ',USD,'Single Engine Piston',2014,'AMERICAN LEGEND','AL18 SUPER LEGEND','Lafayette,\n                           LA\n                           USA','Not Listed',N859JL,71,?,?,?,?,?,VFR,'United States'
Used,'999,000 ',USD,'Multi Engine Piston',2014,BEECHCRAFT,'G58 BARON','Greensboro,\n                           NC\n                           USA',TH-2433,N211CP,150,'150 SNEW','150 SNEW','150 SNEW','150 SNEW',?,?,'United States'
Used,'549,000 ',USD,'Single Engine Piston',2014,CIRRUS,'SR22-G5 GTS',USA,4076,N501PT,963,?,?,?,?,?,?,'United States'
Used,'549,000 ',USD,'Single Engine Piston',2014,CIRRUS,SR22T-G5,'Detroit,\n                           MI\n                           USA',700,N778GT,1190,?,?,?,?,5.0,?,'United States'
Used,'615,000 ',USD,'Single Engine Piston',2014,CIRRUS,SR22T-G5,'Tampa,\n                           FL\n                           USA',924,N520CT,1065,'1065 SNEW',?,'1065 SNEW',?,5.0,?,'United States'
Used,'589,900 ',USD,'Single Engine Piston',2014,CIRRUS,'SR22T-G5 GTS','Raleigh,\n                           NC\n                           USA',960,N165LM,845,'845 SNEW',?,'845 SNEW',?,?,?,'United States'
Used,'589,000 ',USD,'Single Engine Piston',2014,CIRRUS,'SR22T-G5 GTS','Charlotte,\n                           NC\n                           USA',892,N74BY,685,'685 SNEW',?,'685 SNEW',?,5.0,?,'United States'
Used,'560,000 ',USD,'Single Engine Piston',2014,CIRRUS,'SR22T-G5 GTS','Palo Alto,\n                           CA\n                           USA',705,N784RJ,1136,'1136 SNEW',?,'1136 SNEW',?,?,?,'United States'
Used,'195,000 ',USD,'Single Engine Piston',2014,CUBCRAFTERS,'CARBON CUB EX','Aurora,\n                           OR\n                           USA',CCK-1865-0061,N9696X,189,'189 SMOH',?,?,'189 SNEW',2.0,VFR,'United States'
Used,'52,000 ',USD,'Single Engine Piston',2014,'EUROPA AIRCRAFT',MONOWHEEL,'Gold Coast\n                           \n                           USA',327,'19 8459',50,50,?,?,50,2.0,?,BRITAIN
Used,'114,500 ',USD,'Single Engine Piston',2014,EVEKTOR,HARMONY,'Weyers Cave,\n                           VA\n                           USA',20141702,N887AB,669,'669 SNEW',?,'669 SNEW',?,2.0,IFR,'Czech Republic'
Used,'36,000 ',USD,'Single Engine Piston',2014,'KITFOX AIRCRAFT',VIXEN,'Moscow,\n                           ID\n                           USA',V94040008,N52367,?,?,?,?,?,?,?,'United States'
Used,'795,000 ',USD,Turboprop,2014,LANCAIR,'EVOLUTION TURBOPROP','Mesa,\n                           AZ\n                           USA',EVOT-016,N850NS,265,'265 SMOH',?,'265 SNEW',?,4.0,BTH,'United States'
Used,'199,000 ',USD,'Multi Engine Piston',2014,'LOCKWOOD AIRCRAFT',AIRCAM,'Gulf Shores,\n                           AL\n                           USA',AC-099,N199AL,185,'185 HOURS','205 HOURS','205 HOURS','205 HOURS',2.0,VFR,'United States'
Used,'2,395,000 ',USD,'Private Jets',2014,NEXTANT,400XTI,'Greeneville,\n                           TN\n                           USA',RK-234,N23NX,8959,'1503 SNEW','1503 SNEW',?,?,?,IFR,'United States'
Used,'799,900 ',USD,'Single Engine Piston',2014,'PIPER AIRCRAFT','MALIBU MIRAGE','Lapper,\n                           MI\n                           USA',4636631,N1972M,738,'738 SNEW',?,'738 SNEW',?,?,?,'United States'
Used,'116,500 ',USD,'Single Engine Piston',2014,'EDRA Pecas e Manutencao Ltda',LS,'Ormond Beach (KOMN),\n                           FL\n                           USA',S0327,N102SP,950,'950 HOURS',?,'120 HOURS',?,2.0,VFR,Brazil
Used,'124,500 ',USD,'Single Engine Piston',2014,'VAN\'S AIRCRAFT',RV-12,'LA\n                           USA','Not Listed',N442WG,52,'52 SNEW',?,'52 SNEW',?,?,?,'United States'
Used,'115,000 ',USD,'Single Engine Piston',2014,ZENAIR/ZENITH,'STOL CH750','Anoka,\n                           MN\n                           USA',8445,N33PY,40,40,?,40,?,2.0,?,Canada
Used,'105,000 ',USD,'Single Engine Piston',2014,'VAN\'S AIRCRAFT',RV-7/7A,'Taylorville,\n                           IL\n                           USA',71279,771MK,250,910,?,250,?,2.0,BTH,'United States'
Used,'28,000 ',USD,'Single Engine Piston',2014,ZENAIR/ZENITH,'ZODIAC CH 601 XLB','Indian Head,\n                           MD\n                           USA',Jun-76,N611ML,258,'258 SNEW',?,258,?,2.0,VFR,Canada
Used,'3,095,000 ',USD,'Turbine Helicopters',2015,'BELL TEXTRON','407 GXP','Ft Lauderdale,\n                           FL\n                           USA',54641,TG-PJO,762,'762 HOURS',?,?,?,?,?,'United States'
Used,'159,900 ',USD,'Single Engine Piston',2015,'BRM AERO',BRISTELL,'TX\n                           USA',116/2015,N516BL,350,'350 SNEW',?,'350 SNEW',?,?,VFR,'Czech Republic'
Used,'575,000 ',USD,'Single Engine Piston',2015,CIRRUS,'SR22-G5 GTS','Tallahassee,,\n                           FL\n                           USA',4294,N828GG,1185,'1185 SNEW',?,'1185 SNEW',?,5.0,?,'United States'
Used,'595,000 ',USD,'Single Engine Piston',2015,CIRRUS,'SR22-G5 TURBO','Seattle,\n                           WA\n                           USA',1144,N22AB,1044,'1044 SNEW',?,'1044 SNEW',?,5.0,IFR,'United States'
Used,'569,900 ',USD,'Single Engine Piston',2015,CIRRUS,SR22T-G5,'Amsterdam\n                           \n                           NLD',1156,N444SS,340,'340 SNEW',?,'340 SNEW',?,5.0,IFR,'United States'
Used,'640,000 ',USD,'Single Engine Piston',2015,CIRRUS,'SR22T-G5 GTS','Switzerland\n                           \n                           GBR',1219,'Not Listed',288,'288 HOURS',?,'288 HOURS',?,5.0,?,'United States'
Used,'895,000 ',USD,'Single Engine Piston',2015,'PIPER AIRCRAFT',M350,'Muncie,\n                           IN\n                           USA',4636633,N4416H,915,?,?,?,?,6.0,IFR,'United States'
Used,'1,495,000 ',USD,Turboprop,2015,'PIPER AIRCRAFT','MERIDIAN M500',USA,4697601,'Not Listed',980,'980 SNEW',?,'980 SNEW',?,?,?,'United States'
Used,'1,585,000 ',USD,Turboprop,2015,'PIPER AIRCRAFT','MERIDIAN M500','South Carolina\n                           \n                           USA',4697549,N4416P,675,?,?,?,?,?,?,'United States'
Used,'1,500,000 ',USD,Turboprop,2015,'PIPER AIRCRAFT','MERIDIAN M500','MN\n                           USA',4697598,N500YV,710,'710 SNEW',?,'710 SNEW',?,6.0,?,'United States'
Used,'119,000 ',USD,'Single Engine Piston',2015,'VAN\'S AIRCRAFT',RV-12,'Rush City,\n                           MN\n                           USA',12065,'N525AT SLSA',350,350,?,350,?,2.0,VFR,'United States'
Used,'795,000 ',USD,'Single Engine Piston',2016,BEECHCRAFT,'G36 BONANZA','Anderson,\n                           SC\n                           USA',E-4076,N112KD,'125 SNEW','125 SNEW',?,'125 SNEW',?,6.0,IFR,'United States'
New,'719,900 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22 TURBO GTS','Carefree 18AZ,\n                           AZ\n                           USA',1278,N882C,365,'365 HOURS',?,'365 HOURS',?,?,IFR,'United States'
Used,'550,000 ',USD,'Single Engine Piston',2016,CIRRUS,SR22-G5,USA,4395,N520GW,640,?,?,?,?,5.0,?,'United States'
Used,'689,000 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22T-G5 GTS','Salt Lake City,\n                           UT\n                           USA',1333,N221VC,577,'577 SNEW',?,'577 SNEW',?,?,?,'United States'
?,'729,900 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22T-G5 GTS','Phillipsburg,\n                           OH\n                           USA',1369,N22P,397,'397 HOURS',?,'397 HOURS',?,?,?,'United States'
?,'729,900 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22T-G5 GTS','Phillipsburg,\n                           OH\n                           USA',1249,N5411,267,'267 HOURS',?,'267 HOURS',?,?,IFR,'United States'
Used,'650,000 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22T-G5 GTS','Fresno,\n                           CA\n                           USA',1284,N559NS,1100,'1100 SNEW',?,'1100 SNEW',?,5.0,?,'United States'
Used,'234,999 ',USD,'Single Engine Piston',2016,CUBCRAFTERS,'CC11-160 CARBON CUB SS','West Palm Beach,\n                           FL\n                           USA',CC11-00403,N386BF,280,?,?,?,?,?,?,'United States'
Used,'98,500 ',USD,'Single Engine Piston',2016,EVEKTOR,SPORTSTAR,'New Orleans,\n                           LA\n                           USA','2016 1731',N19EV,290,'290 SNEW',?,'290 SNEW',?,2.0,?,'Czech Republic'
Used,'439,000 ',USD,'Multi Engine Piston',2016,TECNAM,P2006T,'W Lafayette,\n                           IN\n                           USA',181US,N128PA,1150,'960 SNEW','1150 SNEW','1150 SNEW','1150 SNEW',4.0,BTH,Italy
Used,'79,900 ',USD,'Single Engine Piston',2016,ZENAIR/ZENITH,'CH750 CRUZER','Justin,\n                           TX\n                           USA',CH75-10043,N387RM,112,'112 HOURS',?,'50 HOURS',?,2.0,VFR,Canada
Used,'85,000 ',USD,'Single Engine Piston',2017,AEROTREK,A240,'Idaho Falls,\n                           ID\n                           USA','Not Listed',N573T,39,39,?,39,?,2.0,VFR,Slovakia
Used,'214,750 ',USD,'Single Engine Piston',2017,'AMERICAN CHAMPION','8-KCAB XTREME DECATHLON','Spring,\n                           TX\n                           USA',1172-2017,N90GT,175,'175 SNEW',?,'175 SNEW',?,2.0,VFR,'United States'
Used,'92,000 ',USD,Gyrocopter,2017,AUTOGYRO,CALIDUS,'Monterey,\n                           CA\n                           USA',C00418,N195WD,190,'190 HOURS',?,?,?,2.0,?,Germany
Used,'105,000 ',USD,Gyrocopter,2017,AUTOGYRO,CAVALON,'Alexandria,\n                           MN\n                           USA',V00274,N113CX,200,'200 SNEW',?,'200 SNEW',?,2.0,VFR,Germany
Used,'70,000 ',EUR,Gyrocopter,2017,CELIER,'XENON 4 - EXECUTIVE','EPBA Bielsko-Biala\n                           \n                           POL','Not Listed',OK-WWD04,194,'224 HOURS',?,?,?,2.0,VFR,Malta
Used,'829,000 ',USD,'Single Engine Piston',2017,CIRRUS,'SR22 TURBO GTS','Raleigh,\n                           NC\n                           USA',1580,N828SJ,230,230,?,230,?,4.0,BTH,'United States'
Used,'625,000 ',USD,'Single Engine Piston',2017,CIRRUS,'SR22-G6 GTS','Tampa Bay,\n                           FL\n                           USA',4540,N954KP,1525,'1525 SNEW',?,'1525 SNEW',?,5.0,?,'United States'
Used,'173,491 ',USD,'Single Engine Piston',2018,'BRM AERO',BRISTELL,'Ronkonkoma,\n                           NY\n                           USA',359/2018,N359BL,600,'600 SNEW',?,'600 SNEW',?,2.0,BTH,'Czech Republic'
Used,'209,268 ',USD,'Single Engine Piston',2018,'BRM AERO',BRISTELL,'Ronkonkoma,\n                           NY\n                           USA','Not Listed',N557BL,?,?,?,?,?,?,?,'Czech Republic'
?,'649,000 ',USD,'Single Engine Piston',2018,CIRRUS,'SR22T-G6 GTS',?,4687,N407KP,925,'925 SNEW',?,?,?,?,?,'United States'
?,'889,000 ',USD,'Single Engine Piston',2018,CIRRUS,'SR22T-G6 GTS','Lebanon,\n                           OH\n                           USA',1709,N254CP,384,'384 SNEW',?,?,?,?,?,'United States'
Used,'865,000 ',USD,'Single Engine Piston',2018,CIRRUS,'SR22T-G6 GTS','Denver,\n                           CO\n                           USA',1667,N8115B,167,'167 SNEW',?,'167 SNEW',?,?,?,'United States'
Used,'889,000 ',USD,'Single Engine Piston',2018,CIRRUS,'SR22T-G6 GTS','Kennesaw,\n                           GA\n                           USA',1814,N157BR,125,'125 SNEW',?,'125 SNEW',?,5.0,?,'United States'
Used,'1,900,000 ',USD,'Private Jets',2018,CIRRUS,'VISION SF50','Raleigh,\n                           NC\n                           USA',36,N344PV,525,'525 SNEW',?,'525 SNEW',?,7.0,?,'United States'
Used,'1,900,000 ',USD,'Private Jets',2018,CIRRUS,'VISION SF50','Fresno,\n                           CA\n                           USA',52,N559BK,357,'357 SNEW',?,'357 SNEW',?,7.0,?,'United States'
Used,'1,900,000 ',USD,'Private Jets',2018,CIRRUS,'VISION SF50','Orange County,\n                           CA\n                           USA',53,N48HS,290,'290 SNEW',?,'290 SNEW',?,?,?,'United States'
Used,'220,000 ',USD,'Single Engine Piston',2018,CUBCRAFTERS,'CARBON CUB EX','ID\n                           USA','Not Listed',N509TW,?,?,?,?,?,?,?,'United States'
Used,'679,900 ',USD,'Single Engine Piston',2018,'MOONEY INTERNATIONAL CORP','M20V ACCLAIM ULTRA','Lexington (KLEX),\n                           KY\n                           USA',33-0007,N63PA,150,'150 SNEW',?,'150 SNEW',?,?,?,'United States'
New,'6,000 ',USD,'Single Engine Piston',2018,'PIPER AIRCRAFT','J-3 CUB','Grovland,\n                           CA\n                           USA','Not Listed',N8252S,0,'0 HOURS',?,0,?,1.0,VFR,'United States'
Used,'1,779,000 ',USD,Turboprop,2018,'PIPER AIRCRAFT','MERIDIAN M500','Muncie,\n                           IN\n                           USA',4697634,N634ST,480,?,?,?,?,6.0,?,'United States'
Used,'75,000 ',USD,'Single Engine Piston',2018,'VAN\'S AIRCRAFT',RV-12,'Georgetown,\n                           TX\n                           USA',121049,N218TF,100,?,?,?,?,2.0,VFR,'United States'
New,'48,000,000 ',USD,'Private Jets',2019,AIRBUS,A320,'Hollister,\n                           CA\n                           USA','Not Listed','Not Listed',?,?,?,?,?,?,?,EU
?,'3,995,000 ',USD,'Turbine Helicopters',2019,'BELL TEXTRON','407 GXP','Arlington,\n                           TX\n                           USA',54851,N407WD,65,?,?,?,?,?,?,'United States'
New,'193,887 ',USD,'Single Engine Piston',2019,'BRM AERO',BRISTELL,'Sebring,\n                           FL\n                           USA',444/2019,N444ZG,50,50,?,?,?,2.0,BTH,'Czech Republic'
Used,'209,269 ',USD,'Single Engine Piston',2019,'BRM AERO',BRISTELL,'Ronkonkoma,\n                           NY\n                           USA',357/2019,N357BL,300,?,?,'300 HOURS',?,2.0,BTH,'Czech Republic'
Used,'296,372 ',USD,'Single Engine Piston',2019,'BRM AERO',BRISTELL,'Ronkonkoma,\n                           NY\n                           USA',436/2019,N915LM,35,35,?,'35 SNEW',?,2.0,BTH,'Czech Republic'
Used,'242,783 ',USD,'Single Engine Piston',2019,'BRM AERO',BRISTELL,USA,438/2019,N438BL,4,4,?,4,?,2.0,?,'Czech Republic'
?,'859,900 ',USD,'Single Engine Piston',2019,CIRRUS,'SR22T-G6 GTS','AZ\n                           USA',1917,N8922P,279,'279 HOURS',?,'279 HOURS',?,?,?,'United States'
Used,'899,900 ',USD,'Single Engine Piston',2019,CIRRUS,'SR22T-G6 GTS','Knoxville,\n                           TN\n                           USA',2017,N181CC,15,'15 SNEW',?,'15 SNEW',?,5.0,?,'United States'
Used,'899,000 ',USD,'Single Engine Piston',2019,CIRRUS,'SR22T-G6 GTS','Miami,\n                           FL\n                           USA',1874,N806LM,160,?,?,?,?,5.0,?,'United States'
Used,'2,695,000 ',USD,'Private Jets',2019,CIRRUS,'VISION SF50','West Palm Beach,\n                           FL\n                           USA',126,N626RF,110,'110 SNEW',?,?,?,7.0,?,'United States'
Used,'2,790,000 ',USD,'Private Jets',2019,CIRRUS,'VISION SF50','New Castle,\n                           DE\n                           USA',96,N178FA,364,'364 SNEW',?,'364 SNEW',?,7.0,?,'United States'
Used,'2,795,000 ',USD,'Private Jets',2019,CIRRUS,'VISION SF50','Charlotte,\n                           NC\n                           USA',124,N503DL,320,'320 SNEW',?,'320 SNEW',?,?,?,'United States'
Used,'250,000 ',USD,'Single Engine Piston',2019,CUBCRAFTERS,'CARBON CUB EX','Ramona,\n                           CA\n                           USA',CCK-1865-1052,333CH,70,70,?,70,?,2.0,VFR,'United States'
Used,'224,900 ',USD,'Single Engine Piston',2019,CUBCRAFTERS,'CARBON CUB EX','Brigham City,\n                           UT\n                           USA',CCK-1865-1056,N916ST,60,'60 SNEW',?,'60 SNEW',?,2.0,VFR,'United States'
New,'182,000 ',USD,'Single Engine Piston',2019,'CZECH SPORT AIRCRAFT',SPORTCRUISER,'Blaine,\n                           MN\n                           USA',C0638,N738SC,28,'28 SNEW',?,'28 SNEW',?,2.0,VFR,'Czech Republic'
Used,'156,000 ',USD,'Single Engine Piston',2019,'CZECH SPORT AIRCRAFT',SPORTCRUISER,'Blaine,\n                           MN\n                           USA',C0653,N588SC,70,'70 SNEW',?,'70 SNEW',?,2.0,VFR,'Czech Republic'
Used,'159,000 ',USD,'Single Engine Piston',2019,'FLIGHT DESIGN',CTLSI,'Glendale,\n                           AZ\n                           USA','Not Listed',9639H,59,59,?,59,?,2.0,?,Germany
Project,'14,000 ',USD,'Single Engine Piston',2019,HOMEBUILT,'NOT SPECIFIED','Pagosa Springs,\n                           CO\n                           USA','Not Listed','Not Listed',0,'0 HOURS',?,?,?,2.0,?,?
Used,'639,000 ',USD,'Single Engine Piston',2019,'MOONEY INTERNATIONAL CORP','OVATION ULTRA','Ft Lauderdale,\n                           FL\n                           USA',32-0009,N7323M,100,'100 HOURS',?,'100 HOURS',?,?,?,'United States'
Used,'389,900 ',USD,'Single Engine Piston',2019,'PIPER AIRCRAFT','ARCHER LX','Santa Anna,\n                           CA\n                           USA',2881186,N909MA,145,145,?,145,?,4.0,IFR,'United States'
Used,'169,000 ',USD,'Single Engine Piston',2019,'PIPER AIRCRAFT','SUPER CUB','Wasilla,\n                           AK\n                           USA','Not Listed',N771ZA,65,'65 SNEW',?,'22 SNEW',?,2.0,VFR,'United States'
?,'280,000 ',EUR,'Gliders  Sailplanes',2019,SCHLEICHER,'ASG 32 MI','Sarnen\n                           \n                           CHE',32067,HB-2777,82,'22 SNEW',?,'82 SNEW',?,?,?,Germany
New,'105,000 ',USD,'Single Engine Piston',2019,'VAN\'S AIRCRAFT',RV-7/7A,'Port St Lucie,\n                           FL\n                           USA','Not Listed',N102WZ,110,110,?,110,?,2.0,VFR,'United States'
New,'88,500 ',USD,'Single Engine Piston',2019,'VAN\'S AIRCRAFT',RV-8,'Roanoke,\n                           VA\n                           USA',82060,N6710Z,41,41,?,41,?,2.0,VFR,'United States'
Used,'99,000 ',USD,'Single Engine Piston',2019,'VASHON AIRCRAFT','RANGER R7','ATLANTA,\n                           GA\n                           USA',10144,N267SL,95,'115 SNEW',?,'115 SNEW',?,2.0,VFR,'United States'
New,'263,900 ',USD,'Single Engine Piston',2020,'AMERICAN CHAMPION','8-GCBC SCOUT','WI\n                           USA','Not Listed','Not Listed',?,?,?,?,?,?,?,'United States'
New,'289,638 ',USD,'Single Engine Piston',2020,'BRM AERO',BRISTELL,'Ronkonkoma,\n                           NY\n                           USA',SN494,N494BL,10,'10 SNEW',?,'10 SNEW',?,2.0,BTH,'Czech Republic'
New,'168,999 ',USD,'Single Engine Piston',2020,'BRM AERO',BRISTELL,'Shirley,\n                           NY\n                           USA',491/2020,N491BL,10,10,?,?,'10 HOURS',2.0,BTH,'Czech Republic'
?,'799,000 ',USD,'Single Engine Piston',2020,CIRRUS,'SR22-G6 GTS','Miami,\n                           FL\n                           USA',4879,N272NF,75,'75 SNEW',?,?,?,5.0,?,'United States'
New,'325,000 ',USD,'Single Engine Piston',2020,CUBCRAFTERS,'CARBON CUB EX-3','Haskell 2K9,\n                           OK\n                           USA',CCK-2000-3,N683DE,60,'60 SNEW',?,'60 SNEW',?,2.0,VFR,'United States'
New,'211,250 ',USD,'Single Engine Piston',2020,'CZECH SPORT AIRCRAFT',SPORTCRUISER,'Blaine,\n                           MN\n                           USA',C0664,N663SC,5,'5 SNEW',?,'5 SNEW',?,2.0,BTH,'Czech Republic'
?,'1,430,825 ',USD,'Multi Engine Piston',2020,'DIAMOND AIRCRAFT INDUSTRIES',DA62,'Ft Lauderdale,\n                           FL\n                           USA',62.112,N505DA,?,?,?,?,?,?,?,AUSTRIA
New,'3,261,955 ',USD,Turboprop,2020,'PIPER AIRCRAFT',M600,'Muncie,\n                           IN\n                           USA',4698134,N601MA,?,?,?,?,?,?,?,'United States'
New,'295,040 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R22 BETA II','St Augustine,\n                           FL\n                           USA',L966K,L966K,0,?,?,?,?,?,VFR,'United States'
New,'335,000 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 CADET','FL\n                           USA','Not Listed',TBD,?,?,?,?,?,?,?,'United States'
New,'347,480 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 CADET','St Augustine,\n                           FL\n                           USA',L895K,L895K,0,?,?,?,?,?,VFR,'United States'
New,'389,526 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 CADET',?,L890K,L890K,?,?,?,?,?,4.0,VFR,'United States'
Used,'379,010 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 RAVEN I','St. Augustine,\n                           FL\n                           USA',L885K,L885K,0,?,?,?,?,4.0,?,'United States'
Used,'465,000 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 RAVEN II','St Augustine,\n                           FL\n                           USA',L1558I,L1558I,4,?,?,?,?,4.0,?,'United States'
Used,'259,500 ',USD,'Single Engine Piston',1940,BUCKER,'BU-133 JUNGMEISTER','Daytona Beach,\n                           FL\n                           USA','Not Listed',N35BU,1600,'90 SMOH',?,'120 SNEW',?,1.0,?,Germany
Used,'2,250,000 ',EUR,'Single Engine Piston',1940,HAWKER,HURRICANE,FRA,P3351,F-AZXR,130,'130 SMOH',?,'30 SMOH',?,?,?,Britain
Used,'29,500 ',USD,'Single Engine Piston',1940,'PIPER AIRCRAFT',J-3C,'Burlington,\n                           IA\n                           USA',5814,N33057,2500,'300 SMOH',?,?,?,2.0,VFR,'United States'
Used,'110,000 ',USD,'Single Engine Piston',1941,BOEING/STEARMAN,'A75 N1','Malvern,\n                           AR\n                           USA',753660,N51WR,1745,'420 SMOH',?,'167 SPOH',?,2.0,VFR,'United States'
Used,'129,950 ',USD,'Private Jets',1942,BOEING,PT-17,'Livermore,\n                           CA\n                           USA',75-8233,N68837,8803,'630 SMOH',?,'255 SNEW',?,?,?,'United States'
New,'286,000 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R22 BETA II','FL\n                           USA','Not Listed',TBD,?,?,?,?,?,?,?,'United States'
New,'207,994 ',USD,'Single Engine Piston',2020,'JMB Aircraft','VL-3 RG','Mansfield,\n                           OH\n                           USA','Not Listed','Not Listed',?,?,?,?,?,?,VFR,'Czech Republic'
Used,'1,417,560 ',USD,'Multi Engine Piston',2020,'DIAMOND AIRCRAFT INDUSTRIES',DA62,'Norwood,\n                           MA\n                           USA',62.C021,N66AR,?,?,?,?,?,?,?,AUSTRIA
Used,'795,000 ',USD,'Single Engine Piston',2019,CIRRUS,'SR22-G6 GTS','White Plains,\n                           NY\n                           USA',4745,N363BK,550,'550 SNEW',?,'550 SNEW',?,5.0,?,'United States'
